Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22p","C_0603_1608Metric",99.314000,-34.798000,135.000000,bottom
"C2","22p","C_0603_1608Metric",94.996000,-39.370000,135.000000,bottom
"C3","0.1u","C_0603_1608Metric",110.253780,-43.609260,0.000000,bottom
"C4","0.1u","C_0603_1608Metric",97.144840,-45.722540,180.000000,bottom
"C5","0.1u","C_0603_1608Metric",100.599240,-48.371760,225.000000,bottom
"C6","0.1u","C_0603_1608Metric",104.011092,-48.355888,225.000000,bottom
"C7","10u","C_0603_1608Metric",104.884220,-36.301680,135.000000,bottom
"C8","1u","C_0603_1608Metric",97.126760,-47.304960,0.000000,bottom
"D1","D","D_0603_1608Metric",79.600000,-50.800000,180.000000,bottom
"D2","D","D_0603_1608Metric",84.455000,-69.850000,180.000000,bottom
"D3","D","D_0603_1608Metric",86.995000,-88.900000,180.000000,bottom
"D4","D","D_0603_1608Metric",91.440000,-107.950000,180.000000,bottom
"D5","D","D_0603_1608Metric",82.000000,-127.000000,180.000000,bottom
"D6","D","D_0603_1608Metric",98.800000,-50.800000,180.000000,bottom
"D7","D","D_0603_1608Metric",108.200000,-69.800000,180.000000,bottom
"D8","D","D_0603_1608Metric",113.030000,-88.900000,180.000000,bottom
"D9","D","D_0603_1608Metric",105.800000,-127.000000,180.000000,bottom
"D10","D","D_0603_1608Metric",117.800000,-50.800000,180.000000,bottom
"D11","D","D_0603_1608Metric",127.200000,-69.800000,180.000000,bottom
"D12","D","D_0603_1608Metric",132.000000,-88.800000,180.000000,bottom
"D13","D","D_0603_1608Metric",122.600000,-108.000000,180.000000,bottom
"D14","D","D_0603_1608Metric",129.600000,-127.000000,180.000000,bottom
"D15","D","D_0603_1608Metric",136.800000,-50.800000,180.000000,bottom
"D16","D","D_0603_1608Metric",146.400000,-69.800000,180.000000,bottom
"D17","D","D_0603_1608Metric",151.000000,-88.800000,180.000000,bottom
"D18","D","D_0603_1608Metric",141.600000,-107.800000,180.000000,bottom
"D19","D","D_0603_1608Metric",155.575000,-50.800000,180.000000,bottom
"D20","D","D_0603_1608Metric",165.400000,-69.800000,180.000000,bottom
"D21","D","D_0603_1608Metric",170.200000,-88.800000,180.000000,bottom
"D22","D","D_0603_1608Metric",160.600000,-107.800000,180.000000,bottom
"D23","D","D_0603_1608Metric",175.000000,-50.800000,180.000000,bottom
"D24","D","D_0603_1608Metric",184.400000,-69.800000,180.000000,bottom
"D25","D","D_0603_1608Metric",189.200000,-88.800000,180.000000,bottom
"D26","D","D_0603_1608Metric",179.600000,-108.000000,180.000000,bottom
"D27","D","D_0603_1608Metric",194.000000,-50.800000,180.000000,bottom
"D28","D","D_0603_1608Metric",203.400000,-69.800000,180.000000,bottom
"D29","D","D_0603_1608Metric",208.212500,-88.800000,180.000000,bottom
"D30","D","D_0603_1608Metric",198.600000,-107.800000,180.000000,bottom
"D31","D","D_0603_1608Metric",201.000000,-127.000000,180.000000,bottom
"D32","D","D_0603_1608Metric",213.000000,-50.800000,180.000000,bottom
"D33","D","D_0603_1608Metric",222.600000,-69.800000,180.000000,bottom
"D34","D","D_0603_1608Metric",227.200000,-88.800000,180.000000,bottom
"D35","D","D_0603_1608Metric",217.800000,-108.000000,180.000000,bottom
"D36","D","D_0603_1608Metric",232.000000,-50.800000,180.000000,bottom
"D37","D","D_0603_1608Metric",241.600000,-69.800000,180.000000,bottom
"D38","D","D_0603_1608Metric",246.400000,-88.800000,180.000000,bottom
"D39","D","D_0603_1608Metric",236.800000,-107.800000,180.000000,bottom
"D40","D","D_0603_1608Metric",251.000000,-50.800000,180.000000,bottom
"D41","D","D_0603_1608Metric",260.600000,-69.800000,180.000000,bottom
"D42","D","D_0603_1608Metric",265.400000,-88.800000,180.000000,bottom
"D43","D","D_0603_1608Metric",255.800000,-107.800000,180.000000,bottom
"D44","D","D_0603_1608Metric",270.200000,-50.800000,180.000000,bottom
"D45","D","D_0603_1608Metric",279.600000,-69.800000,180.000000,bottom
"D46","D","D_0603_1608Metric",284.387500,-88.800000,180.000000,bottom
"D47","D","D_0603_1608Metric",274.800000,-108.000000,180.000000,bottom
"D48","D","D_0603_1608Metric",272.600000,-127.000000,180.000000,bottom
"D49","D","D_0603_1608Metric",289.200000,-50.800000,180.000000,bottom
"D50","D","D_0603_1608Metric",298.800000,-69.800000,180.000000,bottom
"D51","D","D_0603_1608Metric",303.400000,-88.800000,180.000000,bottom
"D52","D","D_0603_1608Metric",294.000000,-108.000000,180.000000,bottom
"D53","D","D_0603_1608Metric",296.400000,-127.000000,180.000000,bottom
"D54","D","D_0603_1608Metric",308.200000,-50.800000,180.000000,bottom
"D55","D","D_0603_1608Metric",317.800000,-69.800000,180.000000,bottom
"D56","D","D_0603_1608Metric",320.200000,-108.000000,180.000000,bottom
"D57","D","D_0603_1608Metric",327.200000,-127.000000,180.000000,bottom
"D58","D","D_0603_1608Metric",336.750000,-50.750000,180.000000,bottom
"D59","D","D_0603_1608Metric",341.600000,-69.800000,180.000000,bottom
"D60","D","D_0603_1608Metric",334.400000,-88.800000,180.000000,bottom
"D61","D","D_0603_1608Metric",346.075000,-107.950000,180.000000,bottom
"D62","D","D_0603_1608Metric",346.400000,-127.000000,180.000000,bottom
"D63","D","D_0603_1608Metric",365.506000,-50.800000,180.000000,bottom
"D64","D","D_0603_1608Metric",365.506000,-69.850000,180.000000,bottom
"D65","D","D_0603_1608Metric",365.531500,-88.900000,180.000000,bottom
"D66","D","D_0603_1608Metric",365.506000,-108.000000,180.000000,bottom
"D67","D","D_0603_1608Metric",365.506000,-127.000000,180.000000,bottom
"D68","D","D_0603_1608Metric",363.816900,-36.766500,0.000000,bottom
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Amphenol_12401610E4-2A",83.179920,-36.225480,0.000000,bottom
"R1","10k","R_0603_1608Metric",130.556000,-35.306000,90.000000,bottom
"R2","10k","R_0603_1608Metric",110.263940,-42.009060,180.000000,bottom
"R3","5.1K","R_0603_1608Metric",76.944220,-40.614600,270.000000,bottom
"R4","5.1K","R_0603_1608Metric",89.430860,-40.619680,270.000000,bottom
"R5","22","R_0603_1608Metric",84.752180,-43.522900,180.000000,bottom
"R6","22","R_0603_1608Metric",81.610200,-43.520360,0.000000,bottom
"U1","ATMEGA32U4-MU","QFN50P700X700X100-45N",102.870000,-42.418000,45.000000,bottom
"Y1","Crystal_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",97.155000,-37.084000,225.000000,bottom
